"Draw date","Results","Winning Numbers",,,,,,"B","Jackpot","Jackpot",,,,,,,
1/1/2014,"9 12 16 22 26 48 14 There were 200 Lotto Raffle numbers in this draw",9,12,16,22,26,48,14,"£11,313,452 Rolled","£11,313,452",,,,,,,
12/28/2013,"16 24 25 30 34 45 49 There were 150 Lotto Raffle numbers in this draw",16,24,25,30,34,45,49,"£10,299,405 Rolled","£10,299,405",,,,,,,
12/25/2013,"4 8 9 10 21 24 31 There were 500 Lotto Raffle numbers in this draw",4,8,9,10,21,24,31,"£6,987,524 Rolled","£6,987,524",,,,,,,
12/21/2013,"12 18 25 28 33 40 17 There were 50 Lotto Raffle numbers in this draw",12,18,25,28,33,40,17,"£4,439,965 Rolled","£4,439,965",,,,,,,
12/18/2013,"2 7 25 35 40 42 13 There were 150 Lotto Raffle numbers in this draw",2,7,25,35,40,42,13,"£7,984,754","£7,984,754",,,,,,,
12/14/2013,"13 21 24 29 35 41 8 There were 100 Lotto Raffle numbers in this draw",13,21,24,29,35,41,8,"£6,070,559 Rolled","£6,070,559",,,,,,,
12/11/2013,"1 8 10 14 18 37 27 There were 50 Lotto Raffle numbers in this draw",1,8,10,14,18,37,27,"£1,864,575 Rolled","£1,864,575",,,,,,,
12/7/2013,"10 12 17 28 30 42 25 There were 50 Lotto Raffle numbers in this draw",10,12,17,28,30,42,25,"£3,517,994","£3,517,994",,,,,,,
12/4/2013,"6 12 16 18 21 29 26 There were 150 Lotto Raffle numbers in this draw",6,12,16,18,21,29,26,"£7,571,020","£7,571,020",,,,,,,
11/30/2013,"9 16 19 31 36 37 15 There were 100 Lotto Raffle numbers in this draw",9,16,19,31,36,37,15,"£6,588,733 Rolled","£6,588,733",,,,,,,
11/27/2013,"15 19 22 25 42 48 14 There were 50 Lotto Raffle numbers in this draw",15,19,22,25,42,48,14,"£2,459,533 Rolled","£2,459,533",,,,,,,
11/23/2013,"12 16 22 35 38 48 15 There were 100 Lotto Raffle numbers in this draw",12,16,22,35,38,48,15,"£6,301,183","£6,301,183",,,,,,,
11/20/2013,"5 11 15 23 35 39 44 There were 50 Lotto Raffle numbers in this draw",5,11,15,23,35,39,44,"£1,913,777 Rolled","£1,913,777",,,,,,,
11/16/2013,"3 19 21 30 41 47 38 There were 100 Lotto Raffle numbers in this draw",3,19,21,30,41,47,38,"£5,701,968","£5,701,968",,,,,,,
